-20.300000 61.401805  -20.300000 60.709175  -20.300000 61.305999  -20.300000 61.212143 
-20.200000 62.468356  -20.200000 61.516186  -20.200000 61.398966  -20.200000 61.339526 
-20.100000 61.413878  -20.100000 62.078990  -20.100000 61.299811  -20.100000 61.525928 
-20.000000 61.556038  -20.000000 61.826951  -20.000000 61.708520  -20.000000 61.520991 
-19.900000 61.717665  -19.900000 61.460504  -19.900000 61.599241  -19.900000 61.744473 
-19.800000 61.851104  -19.800000 61.868443  -19.800000 61.834447  -19.800000 61.795963 
-19.700000 61.618499  -19.700000 61.845635  -19.700000 61.943178  -19.700000 61.867852 
-19.600000 63.357983  -19.600000 62.799189  -19.600000 61.995640  -19.600000 61.983101 
-19.500000 62.019521  -19.500000 62.482285  -19.500000 62.051374  -19.500000 62.104204 
-19.400000 62.205343  -19.400000 61.798260  -19.400000 62.150939  -19.400000 62.102362 
-19.300000 62.284269  -19.300000 62.597173  -19.300000 62.042568  -19.300000 62.232002 
-19.200000 62.067143  -19.200000 62.247879  -19.200000 62.299776  -19.200000 62.358661 
-19.100000 61.847250  -19.100000 62.327177  -19.100000 62.602751  -19.100000 62.510752 
-19.000000 62.616371  -19.000000 62.379197  -19.000000 62.704940  -19.000000 62.415780 
-18.900000 63.301652  -18.900000 62.781302  -18.900000 62.597789  -18.900000 62.598283 
-18.800000 63.174148  -18.800000 62.761340  -18.800000 62.659790  -18.800000 62.679748 
-18.700000 62.508130  -18.700000 63.198736  -18.700000 62.656688  -18.700000 62.781992 
-18.600000 62.280178  -18.600000 63.542654  -18.600000 62.904582  -18.600000 62.998282 
-18.500000 64.245267  -18.500000 63.291073  -18.500000 62.881731  -18.500000 63.014003 
-18.400000 62.652207  -18.400000 63.267545  -18.400000 63.041999  -18.400000 63.081926 
-18.300000 64.569537  -18.300000 63.364281  -18.300000 63.041299  -18.300000 63.333676 
-18.200000 64.363958  -18.200000 63.016684  -18.200000 63.278692  -18.200000 63.185330 
-18.100000 62.781391  -18.100000 63.005942  -18.100000 63.584138  -18.100000 63.340038 
-18.000000 64.091342  -18.000000 63.677861  -18.000000 63.232060  -18.000000 63.381475 
-17.900000 63.648345  -17.900000 63.383067  -17.900000 63.524077  -17.900000 63.551435 
-17.800000 63.992228  -17.800000 63.618312  -17.800000 63.499928  -17.800000 63.835311 
-17.700000 63.395853  -17.700000 63.676744  -17.700000 64.148142  -17.700000 63.708478 
-17.600000 63.365283  -17.600000 64.063530  -17.600000 63.952014  -17.600000 63.953215 
-17.500000 63.818816  -17.500000 64.294541  -17.500000 63.714884  -17.500000 64.046508 
-17.400000 64.256917  -17.400000 63.865649  -17.400000 64.202667  -17.400000 64.068990 
-17.300000 63.668023  -17.300000 63.980025  -17.300000 64.216448  -17.300000 64.034445 
-17.200000 65.462175  -17.200000 64.323921  -17.200000 64.317601  -17.200000 64.284300 
-17.100000 63.753220  -17.100000 64.564761  -17.100000 64.493490  -17.100000 64.391705 
-17.000000 64.110146  -17.000000 64.257617  -17.000000 64.595095  -17.000000 64.353345 
-16.900000 64.648247  -16.900000 64.583907  -16.900000 64.859131  -16.900000 64.579783 
-16.800000 65.377700  -16.800000 64.506605  -16.800000 64.574041  -16.800000 64.700668 
-16.700000 65.036480  -16.700000 64.843451  -16.700000 64.700133  -16.700000 64.684017 
-16.600000 64.113272  -16.600000 64.794855  -16.600000 64.804713  -16.600000 64.900478 
-16.500000 64.738220  -16.500000 65.239330  -16.500000 64.874774  -16.500000 65.018454 
-16.400000 65.988536  -16.400000 65.065447  -16.400000 64.910712  -16.400000 64.984832 
-16.300000 65.640507  -16.300000 65.692197  -16.300000 65.273073  -16.300000 65.084302 
-16.200000 66.075738  -16.200000 65.194579  -16.200000 65.459776  -16.200000 65.191072 
-16.100000 64.991256  -16.100000 65.767036  -16.100000 65.286854  -16.100000 65.293509 
-16.000000 64.857392  -16.000000 65.277080  -16.000000 65.441855  -16.000000 65.427501 
-15.900000 65.088543  -15.900000 65.863737  -15.900000 65.513284  -15.900000 65.460976 
-15.800000 66.065908  -15.800000 65.224368  -15.800000 65.556343  -15.800000 65.604574 
-15.700000 66.202677  -15.700000 65.814139  -15.700000 65.789791  -15.700000 65.694388 
-15.600000 66.522855  -15.600000 66.060979  -15.600000 65.831604  -15.600000 65.856419 
-15.500000 65.975144  -15.500000 65.835236  -15.500000 65.992309  -15.500000 65.974387 
-15.400000 66.538924  -15.400000 65.886503  -15.400000 66.124413  -15.400000 66.007993 
-15.300000 66.498180  -15.300000 65.740934  -15.300000 66.445032  -15.300000 66.059820 
-15.200000 66.331684  -15.200000 66.580414  -15.200000 66.358459  -15.200000 66.307185 
-15.100000 67.008848  -15.100000 66.039039  -15.100000 66.193345  -15.100000 66.191605 
-15.000000 67.133661  -15.000000 66.175383  -15.000000 66.511129  -15.000000 66.401688 
-14.900000 66.074425  -14.900000 66.628391  -14.900000 66.328601  -14.900000 66.405990 
-14.800000 67.149930  -14.800000 66.607156  -14.800000 66.699274  -14.800000 66.567206 
-14.700000 66.996145  -14.700000 66.539873  -14.700000 66.659461  -14.700000 66.691014 
-14.600000 66.813266  -14.600000 66.801356  -14.600000 66.754870  -14.600000 66.822110 
-14.500000 66.919944  -14.500000 66.445575  -14.500000 66.964366  -14.500000 66.785780 
-14.400000 66.935331  -14.400000 67.012169  -14.400000 66.734447  -14.400000 66.992913 
-14.300000 67.118301  -14.300000 67.100923  -14.300000 67.110484  -14.300000 67.064816 
-14.200000 67.425029  -14.200000 67.003914  -14.200000 67.384282  -14.200000 67.118159 
-14.100000 67.474359  -14.100000 67.603213  -14.100000 67.082623  -14.100000 67.373062 
-14.000000 69.226641  -14.000000 67.664137  -14.000000 67.470992  -14.000000 67.312768 
-13.900000 67.120231  -13.900000 67.937220  -13.900000 67.536070  -13.900000 67.488611 
